[2023-05-10 04:47:30,020] INFO [Broker id=0] Leader __consumer_offsets-26 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,028] INFO [Broker id=0] Leader connect-status-2 with topic id Some(tGVawypSRn-n583hdVGY1g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,037] INFO [Broker id=0] Leader __consumer_offsets-49 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,045] INFO [Broker id=0] Leader connect-configs-0 with topic id Some(ZpFXaY9nSki9-WYLDHgr8A) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,046] INFO [Broker id=0] Leader connect-offsets-11 with topic id Some(m-_4T-BOTq-EZzWgGhF5Wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,054] INFO [Broker id=0] Leader __consumer_offsets-39 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,062] INFO [Broker id=0] Leader __consumer_offsets-9 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,071] INFO [Broker id=0] Leader __consumer_offsets-24 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,079] INFO [Broker id=0] Leader connect-offsets-19 with topic id Some(m-_4T-BOTq-EZzWgGhF5Wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-10 04:47:30,087] INFO [Broker id=0] Leader __consumer_offsets-31 with topic id Some(meZjLO0BQ12pCuhOO8XSDg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
